the_geom_x,the_geom_webmercator_x,objectid_x,dc_key,location_x,point_x_x,point_y_x,lat_x,lng_x,the_geom_y,the_geom_webmercator_y,objectid_y,location_y,point_x_y,point_y_y,lat_y,lng_y
0101000020E61000003EDA0FE3BBCE52C042C86062FFF54340,0101000020110F00001390C6614FF25FC17C6A1448D0845241,16859636,202512004906.0,6500 BLOCK ELMWOOD AVE,-75.23021771,39.92185621,39.92185621,-75.23021771,0101000020E6100000CADA8DDBBBCE52C06610C41EFFF54340,0101000020110F000025DB05554FF25FC1F87434FDCF845241,24656582,6500 BLOCK ELMWOOD AV,-75.23021592,39.92184815,39.92184815,-75.23021592
0101000020E61000003EDA0FE3BBCE52C042C86062FFF54340,0101000020110F00001390C6614FF25FC17C6A1448D0845241,16859637,202512004906.0,6500 BLOCK ELMWOOD AVE,-75.23021771,39.92185621,39.92185621,-75.23021771,0101000020E6100000CADA8DDBBBCE52C06610C41EFFF54340,0101000020110F000025DB05554FF25FC1F87434FDCF845241,24656582,6500 BLOCK ELMWOOD AV,-75.23021592,39.92184815,39.92184815,-75.23021592
0101000020E61000004692E6B037CA52C0DA9166039B064440,0101000020110F000063FF7E77A3EA5FC1ADB1891339975241,16859638,202514003985.0,1200 BLOCK E STAFFORD ST,-75.15964911,40.05160563,40.05160563,-75.15964911,0101000020E61000003E94AAE535CA52C04D34E59698064440,0101000020110F0000F2B9706BA0EA5FC13CF4126336975241,24656418,1200 BLOCK E STAFFORD ST,-75.15953962,40.05153166,40.05153166,-75.15953962
0101000020E61000005F45C2CEFFC952C061B5852942FF4340,0101000020110F00002A1B138B44EA5FC14658E01B138F5241,16859639,202539002635.0,2700 BLOCK N 15TH ST,-75.15623826,39.99420661,39.99420661,-75.15623826,0101000020E61000008B37328FFCC952C057CEDE196DFF4340,0101000020110F00009DE994063FEA5FC134A1FCB5428F5241,24506781,N 15TH ST & W SELTZER ST,-75.15604,39.995517,39.995517,-75.15604
0101000020E61000001721022FAFC752C062A5FE5186FF4340,0101000020110F00002E5866E955E65FC1BBF959AB5E8F5241,16859640,202524005697.0,3100 BLOCK HARTVILLE ST,-75.12006736,39.99628663,39.99628663,-75.12006736,0101000020E61000000E1FE8D3B0C752C050D7037B86FF4340,0101000020110F0000758C56B458E65FC15FD6D3D85E8F5241,24693215,3100 BLOCK HARTVILLE ST,-75.12016771,39.99629152,39.99629152,-75.12016771
0101000020E6100000FAD7B0AEE3CE52C0CD95FF986FF74340,0101000020110F0000770A7DFA92F25FC1C5D3A01468865241,16861060,202512000002.0,6000 BLOCK CHESTER AVENUE,-75.23264663,39.93309319,39.93309319,-75.23264663,0101000020E6100000B02F02F8E1CE52C06916ECAF6CF74340,0101000020110F00002CAD571190F25FC1F63862DB64865241,24715474,6000 BLOCK CHESTER AV,-75.23254204,39.93300437,39.93300437,-75.23254204
0101000020E61000009E6CDAF7AECB52C09B7D1632F4064440,0101000020110F0000512DADE920ED5FC13F6530079C975241,16861061,202514000921.0,200 BLOCK E PHIL ELLENA ST,-75.18255421,40.05432727,40.05432726,-75.18255421,0101000020E6100000296D58F0AECB52C0A1D24EEEF3064440,0101000020110F00006178ECDC20ED5FC1EB92FBBB9B975241,24503956,200 BLOCK E PHIL ELLENA ST,-75.18255243,40.05431918,40.05431918,-75.18255242
0101000020E6100000BE4B883D5DC552C0B62C3E8978014440,0101000020110F00004F7E100A65E25FC1A8286A1087915241,16861062,202515003047.0,1800 BLOCK KINSEY ST,-75.08381594,40.01149097,40.01149097,-75.08381594,0101000020E61000009F905B9B5FC552C058AF7D5C76014440,0101000020110F0000D99E1E0F69E25FC160BF0CA784915241,24630853,1800 BLOCK KINSEY ST,-75.08396038,40.0114246,40.0114246,-75.08396038
0101000020E61000000EE1F31EC2C452C0A8742CC6AB024440,0101000020110F00001B11A68D5DE15FC1CDF93CC6DB925241,16861063,202515003126.0,1700 BLOCK BRIDGE ST,-75.0743482,40.02086713,40.02086713,-75.0743482,0101000020E6100000FD2E8DDBBFC452C042BDF0B5AD024440,0101000020110F00009D3F7AB559E15FC1ACF60DECDD925241,24507114,1700 BLOCK Bridge St,-75.07421006,40.02092623,40.02092623,-75.07421006
0101000020E61000006589315D86CF52C07BF33C3403F94340,0101000020110F0000279D434FA7F35FC18847922727885241,16861064,202518000068.0,5900 BLOCK LATONA ST,-75.24257593,39.94541028,39.94541028,-75.24257593,0101000020E610000029CDA45586CF52C09F3BA0F002F94340,0101000020110F000022AB7042A7F35FC109B9ABDC26885241,24204104,5900 BLOCK LATONA ST,-75.24257413,39.94540222,39.94540222,-75.24257413
