the_geom,the_geom_webmercator,objectid,location,point_x,point_y,lat,lng,original_index
,,,,,,,,0
,,,,,,,,1
,,,1200 BLOCK E STAFFORD ST,,,,,2
,,,,,,,,3
,,,3100 BLOCK HARTVILLE ST,,,,,4
,,,,,,,,5
,,,200 BLOCK E PHIL ELLENA ST,,,,,6
,,,1800 BLOCK KINSEY ST,,,,,7
,,,,,,,,8
,,,5900 BLOCK LATONA ST,,,,,9
,,,6100 BLOCK VINE ST,,,,,10
0101000020E6100000197F2E5C8ECF52C08485300AC4FB4340,0101000020110F0000CA8847E4B4F35FC1A39EBF17348B5241,,6100 BLOCK VINE ST,-75.24306397,39.96692016,39.96692016,-75.24306397,11
,,,3500 BLOCK N WARNOCK ST,,,,,12
,,,,,,,,13
,,,,,,,,14
,,,,,,,,15
,,,5000 BLOCK AKRON ST,,,,,16
,,,300 BLOCK E ROCKLAND ST,,,,,17
,,,1400 BLOCK S 53RD ST,,,,,18
,,,2100 BLOCK KENNEDY ST,,,,,19
,,,2600 BLOCK N 27TH ST,,,,,20
,,,3600 BLOCK N 5TH ST,,,,,21
,,,900 BLOCK S 4TH ST,,,,,22
,,,,,,,,23
,,,,,,,,24
,,,4400 BLOCK PARRISH ST,,,,,25
0101000020E61000005BFCF9F83CCB52C0CFDD2A5F82FF4340,0101000020110F0000BFAD9F475FEC5FC1AD00BA4A5A8F5241,,2600 BLOCK N 27TH ST,-75.17559647,39.99616613,39.99616613,-75.17559647,26
,,,,,,,,27
,,,,,,,,28
,,,300 BLOCK W UPSAL ST,,,,,29
,,,0 BLOCK N 39TH ST,,,,,30
,,,4600 BLOCK PALETHORP ST,,,,,31
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,,,-75.11534483,39.99666849,39.99666849,-75.11534483,32
0101000020E6100000F6C8303854C752C000FF942A51034440,0101000020110F0000F2816566BBE55FC11F58693493935241,,5000 BLOCK RORER ST,-75.11451535,40.0259145,40.0259145,-75.11451535,33
,,,,,,,,34
,,,2700 BLOCK N BROAD ST,,,,,35
0101000020E61000000F99343E7ACA52C015F2730928FE4340,0101000020110F0000359D128314EB5FC18957215EDA8D5241,,1800 BLOCK W DIAMOND ST,-75.16371112,39.98559683,39.98559683,-75.16371112,36
0101000020E61000000F99343E7ACA52C015F2730928FE4340,0101000020110F0000359D128314EB5FC18957215EDA8D5241,,1800 BLOCK W DIAMOND ST,-75.16371112,39.98559683,39.98559683,-75.16371112,37
,,,2100 BLOCK S 58TH ST,,,,,38
,,,5400 BLOCK OAKLAND ST,,,,,39
,,,,,,,,40
,,,,,,,,41
,,,,,,,,42
,,,1700 BLOCK W BUTLER ST,,,,,43
,,,800 BLOCK WYNNEWOOD RD,,,,,44
