the_geom_x,the_geom_webmercator_x,objectid_x,dc_key_x,location,point_x_x,point_y_x,lat_x,lng_x,the_geom_y,the_geom_webmercator_y,objectid_y,dc_key_y,point_x_y,point_y_y,lat_y,lng_y
0101000020E610000005BDBBBEE4CB52C0ECFC151149FE4340,0101000020110F00008B931B427CED5FC1C472D6FAFE8D5241,16857591,202222012398.0,1900 BLOCK N 32ND ST,-75.18583649,39.98660482,39.98660482,-75.18583649,0101000020E61000000FB5F150E9CB52C09B223CB139FE4340,0101000020110F0000B51BD40584ED5FC1831819F0ED8D5241,24242896,202522000479.0,-75.18611549,39.98613563,39.98613563,-75.18611549
0101000020E610000005BDBBBEE4CB52C0ECFC151149FE4340,0101000020110F00008B931B427CED5FC1C472D6FAFE8D5241,16857591,202222012398.0,1900 BLOCK N 32ND ST,-75.18583649,39.98660482,39.98660482,-75.18583649,0101000020E6100000A48DC0ABE7CB52C09A14172E48FE4340,0101000020110F0000E23B643A81ED5FC1E08738FFFD8D5241,24584849,202522000929.0,-75.18601507,39.98657776,39.98657776,-75.18601507
0101000020E6100000BCC615B41CCA52C08A14D23320FD4340,0101000020110F00002B742DA075EA5FC1716315F0B58C5241,16857607,202222041073.0,1600 BLOCK N BROAD ST,-75.15800192,39.97754524,39.97754524,-75.15800192,0101000020E6100000762EB57314CA52C0268A90BA1DFD4340,0101000020110F00002694179C67EA5FC1EA0F3C32B38C5241,24696241,202522004356.0,-75.15749829,39.97746975,39.97746975,-75.15749829
0101000020E6100000D9BF1D6E28CB52C0C1B8C8FBC0FD4340,0101000020110F0000309BEB623CEC5FC17F511124688D5241,16857610,202222047387.0,1800 BLOCK N RINGGOLD ST,-75.17434266,39.98245189,39.98245189,-75.17434266,0101000020E61000007BDFB6BE21CB52C03EF77176E3FD4340,0101000020110F00007A9BEE0731EC5FC1A4C1985B8E8D5241,24449795,202522002580.0,-75.17393463,39.98350411,39.98350411,-75.17393463
0101000020E610000003744631CCC852C08E981393BB024440,0101000020110F000088F526073AE85FC1F0BA234CED925241,16857643,202225003724.0,4500 BLOCK N 7TH ST,-75.13746292,40.02134932,40.02134932,-75.13746292,0101000020E6100000CA8BC887CBC852C0CE058948A8024440,0101000020110F0000E9D540E738E85FC127AA2CE7D7925241,24646404,202525003481.0,-75.13742251,40.0207606,40.0207606,-75.13742251
0101000020E61000002666E6977BC852C073AACECDABFF4340,0101000020110F0000A3BF491FB1E75FC12A1A9339888F5241,16857646,202225068131.0,3100 BLOCK N HANCOCK ST,-75.13254354,39.99743054,39.99743054,-75.13254354,0101000020E610000042107BFC79C852C0E289E622BAFF4340,0101000020110F0000F5767364AEE75FC1DF944B1D988F5241,24576024,202525003492.0,-75.13244545,39.99786793,39.99786793,-75.13244545
0101000020E61000002666E6977BC852C073AACECDABFF4340,0101000020110F0000A3BF491FB1E75FC12A1A9339888F5241,16857646,202225068131.0,3100 BLOCK N HANCOCK ST,-75.13254354,39.99743054,39.99743054,-75.13254354,0101000020E6100000821ABE8575C852C0BFB9BF7ADCFF4340,0101000020110F0000CA3465CFA6E75FC181DD6F30BE8F5241,24186392,202525000125.0,-75.132173,39.998916,39.998916,-75.132173
0101000020E61000001C49DD2938C852C0580229B16B024440,0101000020110F0000A9CAFB953EE75FC19C2CFBB494925241,16857651,202225037071.0,4500 BLOCK PALETHORP ST,-75.12842795,40.0189115,40.0189115,-75.12842795,0101000020E6100000AE1CEFC837C852C0ED8CE71A83024440,0101000020110F0000BD6B56F13DE75FC174C304ACAE925241,24576649,202525002760.0,-75.12840484,40.01962601,40.01962601,-75.12840484
0101000020E61000001C49DD2938C852C0580229B16B024440,0101000020110F0000A9CAFB953EE75FC19C2CFBB494925241,16857651,202225037071.0,4500 BLOCK PALETHORP ST,-75.12842795,40.0189115,40.0189115,-75.12842795,0101000020E6100000AE1CEFC837C852C0ED8CE71A83024440,0101000020110F0000BD6B56F13DE75FC174C304ACAE925241,24488918,202525002818.0,-75.12840484,40.01962601,40.01962601,-75.12840484
0101000020E61000001C49DD2938C852C0580229B16B024440,0101000020110F0000A9CAFB953EE75FC19C2CFBB494925241,16857651,202225037071.0,4500 BLOCK PALETHORP ST,-75.12842795,40.0189115,40.0189115,-75.12842795,0101000020E6100000AE1CEFC837C852C0ED8CE71A83024440,0101000020110F0000BD6B56F13DE75FC174C304ACAE925241,24700021,202525001938.0,-75.12840484,40.01962601,40.01962601,-75.12840484
