the_geom_x,the_geom_webmercator_x,objectid_x,dc_key_x,location_x,point_x_x,point_y_x,lat,lng,the_geom_y,the_geom_webmercator_y,objectid_y,dc_key_y,location_y,point_x_y,point_y_y
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16854852,202024077769.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16854887,202024084074.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16858071,202124015563.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
0101000020E6100000197F2E5C8ECF52C08485300AC4FB4340,0101000020110F0000CA8847E4B4F35FC1A39EBF17348B5241,16861065,202519003018.0,6100 BLOCK VINE ST,-75.24306397,39.96692016,39.96692016,-75.24306397,0101000020E6100000197F2E5C8ECF52C08485300AC4FB4340,0101000020110F0000CA8847E4B4F35FC1A39EBF17348B5241,24709148,202519003018.0,6100 BLOCK VINE ST,-75.24306397,39.96692016
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16860369,202324019851.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16860376,202324028134.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
0101000020E61000005BFCF9F83CCB52C0CFDD2A5F82FF4340,0101000020110F0000BFAD9F475FEC5FC1AD00BA4A5A8F5241,16862964,202522002520.0,2600 BLOCK N 27TH ST,-75.17559647,39.99616613,39.99616613,-75.17559647,0101000020E61000005BFCF9F83CCB52C0CFDD2A5F82FF4340,0101000020110F0000BFAD9F475FEC5FC1AD00BA4A5A8F5241,24715334,202522002520.0,2600 BLOCK N 27TH ST,-75.17559647,39.99616613
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16861875,202224021587.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16861900,202324036875.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16861452,202424056883.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16861482,202524004250.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
0101000020E6100000F6C8303854C752C000FF942A51034440,0101000020110F0000F2816566BBE55FC11F58693493935241,16861484,202525002815.0,5000 BLOCK RORER ST,-75.11451535,40.0259145,40.0259145,-75.11451535,0101000020E6100000F6C8303854C752C000FF942A51034440,0101000020110F0000F2816566BBE55FC11F58693493935241,24715499,202525002815.0,5000 BLOCK RORER ST,-75.11451535,40.0259145
0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,16861522,202324007095.0,800 BLOCK E ALLEGHENY AVE,-75.11534483,39.99666849,39.99666849,-75.11534483,0101000020E6100000362748CF61C752C079C044D592FF4340,0101000020110F0000DEAFFB7BD2E55FC16A3D958A6C8F5241,24709123,202524004250.0,800 BLOCK E ALLEGHENY AV,-75.11534483,39.99666849
