the_geom,the_geom_webmercator,objectid,dc_key,location_block,point_x,point_y,lat,lng
0101000020E6100000B39C009A33C652C038B3651258024440,0101000020110F00009A554527D1E35FC19AC4CFF27E925241,24412682,202515001499.0,4500 BLOCK CASTOR AV,-75.09689951,40.01831274,40.01831274,-75.09689951
,,24257615,202539001476.0,3900 BLOCK NICE ST,,,,
0101000020E610000063D34A2190CB52C0B439CE6DC2FD4340,0101000020110F00005966F887ECEC5FC1C8E932BE698D5241,24534698,202522003571.0,1700 BLOCK N NEWKIRK ST,-75.180672,39.982496,39.982496,-75.180672
0101000020E610000066D8CD3105CB52C07D59B99B50034440,0101000020110F00009932038900EC5FC14E98F79592935241,24257747,202539000282.0,5100 BLOCK PULASKI AV,-75.17219205,40.02589747,40.02589747,-75.17219205
0101000020E6100000983EE89790BD52C02C5B140B360B4440,0101000020110F0000BA1D948825D55FC1B74ED194559C5241,24534540,202508001224.0,4300 BLOCK BYBERRY RD,-74.96195028,40.08758677,40.08758677,-74.96195028
0101000020E61000002EDB35BE02CC52C01005129877F54340,0101000020110F000046E37836AFED5FC1BC34E4E839845241,24258106,202501000538.0,2200 BLOCK OREGON AV,-75.18766742,39.91771222,39.91771222,-75.18766742
0101000020E61000007A93B62362CB52C0D8799FD341044440,0101000020110F000019885C699EEC5FC15B4FEA229E945241,24258673,202514000666.0,100 BLOCK W CHELTEN AV,-75.17786496,40.03325887,40.03325887,-75.17786496
0101000020E610000000A96EAA05CA52C0FF62111E48FE4340,0101000020110F0000E1B96B7E4EEA5FC16FF275EDFD8D5241,24412356,202522000532.0,2200 BLOCK N BROAD ST,-75.15659581,39.98657585,39.98657585,-75.15659581
0101000020E61000001852B08CAEC952C03398128B10054440,0101000020110F0000244EAA84BAE95FC127BF1D7183955241,24257792,202535001668.0,5600 BLOCK OGONTZ AV,-75.15127866,40.03956736,40.03956736,-75.15127866
0101000020E6100000E71536A0F1CE52C0567FA56F29FB4340,0101000020110F00003F9CADA9AAF25FC17B9273C6888A5241,24534577,202519000089.0,0 BLOCK N ITHAN ST,-75.23349767,39.96220203,39.96220203,-75.23349767
0101000020E61000004DAAAE2AD8CF52C02213B6C01AFD4340,0101000020110F0000F7787D4232F45FC1DF26DCE5AF8C5241,24534578,202519000703.0,800 BLOCK WYNNEWOOD RD,-75.24756877,39.97737894,39.97737893,-75.24756877
0101000020E6100000B1AC6ED48EC352C0C1B2A92563054440,0101000020110F000077D7A59653DF5FC16E990214DF955241,24258710,202515000939.0,7100 BLOCK E ROOSEVELT BLVD,-75.05559264,40.04208823,40.04208823,-75.05559264
0101000020E6100000BE748BA77BC452C098DE7A2490074440,0101000020110F00002A2BE6DBE5E05FC10CFD441149985241,24535758,202502000642.0,7500 BLOCK ALGON AV,-75.07004727,40.05908638,40.05908638,-75.07004727
